"departure_station","total_trips","num_departure_delays","num_arrival_delays","avg_num_departure_delays","avg_num_arrival_delays","total_depart_delay","total_arrival_delay","avg_depart_delay","avg_arrival_delay","num_trains_cancelled","percent_cancelled","delay_external","delay_infrastructure","delay_traffic","delay_stock","delay_station","delay_travelers"
"ST PIERRE DES CORPS",19566,3928,4246,83.5744680851064,90.3404255319149,870.5239301801,788.21991754182,18.5217857485128,16.770636543443,519,37.6994219653179,0.199304779155119,0.358490777510915,0.179065015789489,0.123578944454023,0.0638247639483702,0.0757357191421149
"STRASBOURG",23809,5366,2877,57.0851063829787,30.6063829787234,3037.3472819471,998.04789413058,32.3122051270968,10.6175307886232,442,53.8665158371041,0.310322170528909,0.224472077044468,0.209472537225807,0.150595542974419,0.057788477289234,0.0473491949369936
"STUTTGART",6298,2706,1198,57.5744680851064,25.4893617021277,1266.2338382293,640.28896453904,26.9411454942404,13.6231694582774,102,61.7450980392157,0.1712978336408,0.166752194323926,0.412867271402935,0.13534970372634,0.029670456754793,0.0653748325099465
"TOULON",13047,3976,2080,84.5957446808511,44.2553191489362,2083.1026223173,776.53144507737,44.3213323897298,16.521945639944,463,28.1792656587473,0.34992572980383,0.2373548738077,0.163105767872894,0.162264393850485,0.0502979249419128,0.0370513097230979
"TOULOUSE MATABIAU",8159,519,1274,11.0425531914894,27.1063829787234,1974.9737111238,817.92917723024,42.0207172579532,17.4027484517072,209,39.0382775119617,0.336740612801349,0.332425862558126,0.114372655293072,0.14980712046753,0.0486133224989809,0.018040426380734
"TOURCOING",577,71,79,3.22727272727273,3.76190476190476,847.0217460317,261.99761904765,40.3343688586524,11.9089826839841,27,21.3703703703704,0.225119047619,0.18511904761905,0.38595238095235,0.1413095238095,0.04583333333335,0.01666666666665
"TOURS",8896,322,1582,6.85106382978723,33.6595744680851,752.02114712491,682.49054679497,16.0004499388279,14.5210754637228,155,57.3935483870968,0.175784236227779,0.34218713354166,0.17950356647027,0.156584362602874,0.0805265659230468,0.065414135234183
"VALENCE ALIXAN TGV",12797,4589,2358,97.6382978723404,50.1702127659574,1765.8560512253,934.90760910503,37.5714053452191,19.8916512575538,449,28.5011135857461,0.336095166116894,0.283935894648383,0.156849085715413,0.159918888976487,0.0269897824234064,0.0362111821193766
"VANNES",11379,1747,1318,37.1702127659574,28.0425531914894,1823.2618970999,869.45580842908,38.7928063212745,18.4990597538102,348,32.698275862069,0.354217471958726,0.313963168108292,0.131114078331083,0.131736825491794,0.0455862874928915,0.0233821686171468
"ZURICH",7012,1275,549,27.1276595744681,11.6808510638298,1498.017926277,715.72823033951,31.8727218356808,15.2282602199896,72,97.3888888888889,0.259064597213455,0.170409341520437,0.342576972770786,0.107265322097197,0.0398407043512923,0.0594682330453605
