"airport","flight_count","delay_count","avg_duration","avg_distance","total_distance","avg_depart_delay","avg_arrival_delay"
"10994",1207,310,103.993355481728,541.395194697597,653464,6.45809128630705,1.72425249169435
"11003",532,95,89.6124763705104,385.229323308271,204942,2.41020793950851,1.82986767485822
"11013",57,6,77.4035087719298,284,16188,3.10526315789474,3.50877192982456
"11042",3224,799,123.323860087445,696.259615384615,2244741,3.90577223088924,-1.71455340412242
"11049",223,32,53.0688073394495,132.520179372197,29552,-0.408256880733945,-5.76605504587156
"11057",9572,3034,127.429904582154,700.782386126201,6707889,4.67716947555742,1.62409562755584
"11066",2188,508,121.915977961433,682.973491773309,1494346,4.24128440366972,-2.18870523415978
"11067",206,20,67.9121951219512,218.820388349515,45077,-1.60194174757282,-8.99512195121951
"11076",62,9,87.4166666666667,360,22320,-3.58333333333333,-5.9
"11097",31,14,75.6333333333333,298,9238,4.23333333333333,4.86666666666667
"11109",610,139,113.084297520661,583.414754098361,355883,6.51480263157895,5.12231404958678
